id,createdAt,updatedAt,firstName,lastName,email,password,avatar,phone,position,department,bio,role,permissions,isActive,isVerified,emailVerificationToken,emailVerificationExpires,passwordResetToken,passwordResetExpires,passwordChangedAt,loginAttempts,lockUntil,lastLogin,lastLoginIP,twoFactorSecret,twoFactorEnabled,theme,notificationPreferences,language,timezone,skills,certifications,experience,emergencyContact,address
cme0ia6lp0000umy4of3xsgbi,2025-08-06T21:54:31.008Z,2025-08-06T21:54:31.021Z,Sarah,Owner,sarah.owner@kenstruction.com,hashedpassword,,,,,,ADMIN,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6od0001umy485xu1cc8,2025-08-06T21:54:31.010Z,2025-08-06T21:54:31.025Z,Tom,Anderson,tom.anderson@kenstruction.com,hashedpassword,,,,,,FOREMAN,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6pl0002umy4oyorutla,2025-08-06T21:54:31.010Z,2025-08-06T21:54:31.025Z,Maria,Garcia,maria.garcia@kenstruction.com,hashedpassword,,,,,,WORKER,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6qq0003umy4xyg82y38,2025-08-06T21:54:31.010Z,2025-08-06T21:54:31.025Z,Robert,Smith,robert.smith@kenstruction.com,hashedpassword,,,,,,PROJECT_MANAGER,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6rv0004umy4r4ulpv3c,2025-08-06T21:54:31.011Z,2025-08-06T21:54:31.025Z,Emily,Davis,emily.davis@kenstruction.com,hashedpassword,,,,,,MANAGER,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6t00007umy4ebxxsgkr,2025-08-06T21:54:31.012Z,2025-08-06T21:54:31.025Z,James,Wilson,james.wilson@kenstruction.com,hashedpassword,,,,,,FOREMAN,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6ss0005umy4vxhsy3kx,2025-08-06T21:54:31.009Z,2025-08-06T21:54:31.022Z,Mike,Rodriguez,mike.rodriguez@kenstruction.com,hashedpassword,,,,,,PROJECT_MANAGER,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6ut000aumy4k8kik5y6,2025-08-06T21:54:31.012Z,2025-08-06T21:54:31.025Z,Patricia,Brown,patricia.brown@kenstruction.com,hashedpassword,,,,,,WORKER,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6t00006umy4950saarf,2025-08-06T21:54:31.009Z,2025-08-06T21:54:31.024Z,David,Chen,david.chen@kenstruction.com,hashedpassword,,,,,,MANAGER,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6t30008umy4138rcwmo,2025-08-06T21:54:31.009Z,2025-08-06T21:54:31.024Z,Lisa,Johnson,lisa.johnson@kenstruction.com,hashedpassword,,,,,,ADMIN,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6t70009umy4732662j9,2025-08-06T21:54:31.009Z,2025-08-06T21:54:31.023Z,Jennifer,Williams,jennifer.williams@kenstruction.com,hashedpassword,,,,,,FOREMAN,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
cme0ia6vp000bumy4emyhwvzu,2025-08-06T21:54:31.012Z,2025-08-06T21:54:31.025Z,Charles,Jones,charles.jones@kenstruction.com,hashedpassword,,,,,,PROJECT_MANAGER,,true,false,,,,,,0,,,,,false,LIGHT,,en,UTC,,,,,
